Address	Function	Instruction
.text:0000000142775792	sub_142775550	                lea     r9, aGpusceneInstan_0 ; "GPUScene.InstancePayloadData"
.text:0000000142780456	sub_142780450	                lea     rax, aGpusceneinstan_2 ; "GPUSceneInstancePayloadData"
.text:0000000142780876	sub_142780870	                lea     rax, aGpusceneinstan_4 ; "GPUSceneInstancePayloadDataRW"
.text:0000000142780DE6	sub_142780DE0	                lea     rax, aGpusceneinstan_4 ; "GPUSceneInstancePayloadDataRW"
.text:00000001428C96A1	sub_1428C8F70	                lea     rdx, aInstancecullin_9 ; "InstanceCulling.PayloadData"
.text:00000001428D116D	sub_1428CFEF0	                lea     rdx, aInstancecullin_9 ; "InstanceCulling.PayloadData"
.text:00000001428F78F6	sub_1428F78F0	                lea     rax, aInstancecullin_22 ; "InstanceCullingPayloads"
.text:0000000142D0CC36	sub_142D0CC30	                lea     rax, aGpusceneinstan_2 ; "GPUSceneInstancePayloadData"
.text:0000000142D0D26E	sub_142D0D250	                lea     rax, aRwstructuredbu_50 ; "RWStructuredBuffer<FIntersectionPayload"...
.text:00000001430F0725	sub_1430F06E0	                lea     rdx, off_14A355BC8 ; "GPU timeout: A payload (0x%p) on the [0"...
.text:000000014327A1AF	sub_14327A0F0	                lea     rdx, aDefaultpayload ; "DefaultPayloadMS"
.text:000000014327A1C7	sub_14327A0F0	                lea     r9, aFdefaultpayloa ; "FDefaultPayloadMS"
.text:000000014327C2EF	sub_14327C230	                lea     rdx, aPackedmaterial ; "PackedMaterialClosestHitPayloadMS"
.text:000000014327C307	sub_14327C230	                lea     r9, aFpackedmateria ; "FPackedMaterialClosestHitPayloadMS"
.text:0000000143283768	sub_143283610	                lea     rdx, aMessageOffsetD ; "  Message[Offset: %d, ID: %d, PayloadSi"...
.text:000000014328378F	sub_143283610	                lea     rdx, aPayloadSizeDEx ; "!payload size %d exceeds buffer size (R"...
.text:000000014328380F	sub_143283610	                lea     rdx, aPayload_0 ; " Payload: { "
.text:000000014328FB77	sub_14328FB50	                lea     rax, aFdefaultpayloa ; "FDefaultPayloadMS"
.text:0000000143292497	sub_143292470	                lea     rax, aFpackedmateria ; "FPackedMaterialClosestHitPayloadMS"
.text:000000014357A618	sub_14357A600	                lea     r8, aMoviescenedyna ; "MovieSceneDynamicBindingPayloadVariable"
.text:00000001436D80D8	sub_1436D80C0	                lea     r8, aMoviesceneeven_0 ; "MovieSceneEventPayloadVariable"
.text:00000001436FCF48	sub_1436FCF30	                lea     r8, aEventpayload ; "EventPayload"
.text:0000000143A0C512	sub_143A0C390	                lea     rdx, aFramegrabberAp ; "FrameGrabber_AppendFramePayload"
.text:0000000143A0F4E9	sub_143A0F4E0	                lea     r9, aUframegrabberp ; "UFrameGrabberProtocol::GetFramePayload"
.text:0000000143A9D3AB	sub_143A9CFF0	                lea     rdx, aEhttpreplayres_5 ; "EHttpReplayResult::InvalidPayload"
.text:0000000143AC1E28	sub_143AC1E10	                lea     r8, aEmptypayload ; "EmptyPayload"
.text:0000000143AC1E68	sub_143AC1E50	                lea     r8, aBracketpayload ; "BracketPayload"
.text:0000000143AC1EA8	sub_143AC1E90	                lea     r8, aAnimationtrack ; "AnimationTrackPayload"
.text:0000000143AC1EE8	sub_143AC1ED0	                lea     r8, aAnimationtrack_0 ; "AnimationTrackAddedPayload"
.text:0000000143AC1F28	sub_143AC1F10	                lea     r8, aSequencelength ; "SequenceLengthChangedPayload"
.text:0000000143AC1F68	sub_143AC1F50	                lea     r8, aFrameratechang ; "FrameRateChangedPayload"
.text:0000000143AC1FA8	sub_143AC1F90	                lea     r8, aCurvepayload ; "CurvePayload"
.text:0000000143AC1FE8	sub_143AC1FD0	                lea     r8, aCurvescaledpay ; "CurveScaledPayload"
.text:0000000143AC2028	sub_143AC2010	                lea     r8, aCurverenamedpa ; "CurveRenamedPayload"
.text:0000000143AC2068	sub_143AC2050	                lea     r8, aCurveflagschan ; "CurveFlagsChangedPayload"
.text:0000000143AC20E8	sub_143AC20D0	                lea     r8, aAttributepaylo ; "AttributePayload"
.text:0000000143AC2138	sub_143AC2120	                lea     r8, aAnimdatamodeln ; "AnimDataModelNotifPayload"
.text:0000000143ADA878	sub_143ADA860	                lea     r8, aExternalspatia ; "ExternalSpatialAccelerationPayload"
.text:0000000143C18098	sub_143C18080	                lea     r8, aBranchingpoint_3 ; "BranchingPointNotifyPayload"
.text:0000000143F2DAC7	sub_143F2DA40	                lea     rdx, off_14A8A87F8 ; "UActorChannel::ReadContentBlockPayload:"...
.text:0000000143F2DCF8	sub_143F2DC60	                lea     rdx, off_14A8A8A60 ; "ReadFieldHeaderAndPayload: NetFieldExpo"...
.text:0000000143F2DD7C	sub_143F2DC60	                lea     rdx, off_14A8A8B08 ; "ReadFieldHeaderAndPayload: Error readin"...
.text:0000000143F2DDF7	sub_143F2DC60	                lea     rdx, off_14A8A8BC8 ; "ReadFieldHeaderAndPayload: NetFieldExpo"...
.text:0000000143F2DE93	sub_143F2DC60	                lea     rdx, off_14A8A8CB0 ; "ReadFieldHeaderAndPayload: NetFieldExpo"...
.text:0000000143F2DFBA	sub_143F2DC60	                lea     rdx, off_14A8A8DC0 ; "ReadFieldHeaderAndPayload: GetFromCheck"...
.text:0000000143F2E04A	sub_143F2DC60	                lea     rdx, off_14A8A8EB0 ; "ReadFieldHeaderAndPayload: Error readin"...
.text:0000000143F2E0E2	sub_143F2DC60	                lea     rdx, off_14A8A8F50 ; "ReadFieldHeaderAndPayload: RepIndex too"...
.text:0000000143F2E1B5	sub_143F2DC60	                lea     rdx, off_14A8A8FE8 ; "ReadFieldHeaderAndPayload: GetFromIndex"...
.text:0000000143F2E263	sub_143F2DC60	                lea     rdx, off_14A8A9088 ; "ReadFieldHeaderAndPayload: Error readin"...
.text:0000000143F2E356	sub_143F2DC60	                lea     rdx, off_14A8A9148 ; "ReadFieldHeaderAndPayload: Error readin"...
.text:00000001445299F6	sub_1445299F0	                lea     rax, aInstancepayloa_0 ; "InstancePayloadDataOffset"
.text:0000000144529AA6	sub_144529AA0	                lea     rax, aInstancepayloa_1 ; "InstancePayloadDataStride"
.text:0000000144529B56	sub_144529B50	                lea     rax, aInstancepayloa_2 ; "InstancePayloadExtensionSize"
.text:000000014463CC86	sub_14463CC80	                lea     rax, aUpdatepayloado ; "UpdatePayloadOffset"
.text:0000000144B6BA48	sub_144B6BA30	                lea     r8, aNiagaracollisi_3 ; "NiagaraCollisionEventPayload"
.text:0000000144B84976	sub_144B83640	                lea     r8, aNiagaracollisi_3 ; "NiagaraCollisionEventPayload"
.text:0000000145041E21	sub_145040DB0	                lea     rdx, aErrorProcessin ; "Error Processing PayloadObjects (Reason"...
.text:000000014508B70B	sub_14508B490	                lea     rcx, aPayload_1 ; " Payload: '"
.text:000000014508B754	sub_14508B490	                lea     rdx, aPayload_1 ; " Payload: '"
.text:00000001450BC826	sub_1450BC820	                lea     rax, aInpayloaddataf ; "InPayloadDataFlags"
.text:00000001458E1376	sub_1458E1330	                lea     rdx, aDroppayloadint ; "DropPayloadInterface"
.text:0000000145B4D968	sub_145B4D950	                lea     r8, aMouseoveruidat ; "MouseoverUIDataPayload"
.text:0000000145B6A9A8	sub_145B6A990	                lea     r8, aNodelevelingme ; "NodeLevelingMessagePayload"
.text:0000000146F795A6	sub_146F79120	                lea     rdx, aNanWithPayload ; " NaN with payload [redacted]"
.text:0000000146F795C4	sub_146F79120	                lea     r9, aNanWithPayload ; " NaN with payload [redacted]"
.text:0000000148127748	sub_148127730	                lea     r8, aEinterchangean ; "EInterchangeAnimationPayLoadType"
.text:00000001481279F8	sub_1481279E0	                lea     r8, aInterchangeani ; "InterchangeAnimationPayLoadKey"
.text:00000001481289E1	sub_148128960	                lea     rdx, aAnimationpaylo ; "AnimationPayloadUid"
.text:0000000148128A01	sub_148128960	                lea     rdx, aAnimationpaylo_0 ; "AnimationPayloadType"
.text:000000014812F637	sub_14812F540	                lea     rdx, aUinterchangete ; "UInterchangeTextureNode.GetPayLoadKey"
.text:000000014812F8BB	sub_14812F860	                lea     rdx, aPayloadsourcef ; "__PayloadSourceFile__"
.text:000000014812F94B	sub_14812F900	                lea     rdx, aUinterchangete_0 ; "UInterchangeTextureNode.SetPayLoadKey"
.text:0000000148136638	sub_148136620	                lea     r8, aInterchangemes_0 ; "InterchangeMeshPayLoadKey"
.text:0000000148136B58	sub_148136B40	                lea     r8, aEinterchangeme_0 ; "EInterchangeMeshPayLoadType"
