Address	Function	Instruction
.text:00000001410A85B6	sub_1410A8590	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410AA276	sub_1410AA250	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410AA696	sub_1410AA670	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410AAC66	sub_1410AAC60	                lea     rdx, aCharacter_0 ; "Character"
.text:00000001410AD696	sub_1410AD670	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410ADAB6	sub_1410ADA90	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410AFEC6	sub_1410AFEA0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410B02E6	sub_1410B02C0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410B2246	sub_1410B2220	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410B2666	sub_1410B2640	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410B4436	sub_1410B4410	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410B4856	sub_1410B4830	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410B6486	sub_1410B6460	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410B68A6	sub_1410B6880	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410B8656	sub_1410B8630	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410B8A76	sub_1410B8A50	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410BB926	sub_1410BB900	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410BBD46	sub_1410BBD20	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410BDD96	sub_1410BDD70	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410BE1B6	sub_1410BE190	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410BFFA6	sub_1410BFF80	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410C03C6	sub_1410C03A0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410C22B6	sub_1410C2290	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410C26D6	sub_1410C26B0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410C4AF6	sub_1410C4AD0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410C4F16	sub_1410C4EF0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410C77D6	sub_1410C77B0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410C7BF6	sub_1410C7BD0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410C8106	sub_1410C8100	                lea     rdx, aCharacter_0 ; "Character"
.text:00000001410CA766	sub_1410CA740	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410CAB86	sub_1410CAB60	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410CCB86	sub_1410CCB60	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410CCFA6	sub_1410CCF80	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410CE206	sub_1410CE1E0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410CE626	sub_1410CE600	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410D0276	sub_1410D0250	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410D0696	sub_1410D0670	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410D2C66	sub_1410D2C40	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410D3086	sub_1410D3060	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410D5256	sub_1410D5230	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410D5676	sub_1410D5650	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410D7416	sub_1410D73F0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410D7836	sub_1410D7810	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410DA176	sub_1410DA150	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410DA596	sub_1410DA570	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410DC4F6	sub_1410DC4D0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410DC916	sub_1410DC8F0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410DE6E6	sub_1410DE6C0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410DEB06	sub_1410DEAE0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410E07D6	sub_1410E07B0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410E0BF6	sub_1410E0BD0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410E2F26	sub_1410E2F00	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410E3346	sub_1410E3320	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410E51D6	sub_1410E51B0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410E55F6	sub_1410E55D0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410E7946	sub_1410E7920	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410E7D66	sub_1410E7D40	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410E9CB6	sub_1410E9C90	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410EA0D6	sub_1410EA0B0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410EBFE6	sub_1410EBFC0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410EC406	sub_1410EC3E0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410EE046	sub_1410EE020	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410EE466	sub_1410EE440	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410F03A6	sub_1410F0380	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410F07C6	sub_1410F07A0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410F2526	sub_1410F2500	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410F2946	sub_1410F2920	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410F4B06	sub_1410F4AE0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410F4F26	sub_1410F4F00	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410F5436	sub_1410F5430	                lea     rdx, aCharacter_0 ; "Character"
.text:00000001410F77C6	sub_1410F77A0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410F7BE6	sub_1410F7BC0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410FAE96	sub_1410FAE70	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410FB2B6	sub_1410FB290	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410FD4B6	sub_1410FD490	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410FD8D6	sub_1410FD8B0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001410FFA56	sub_1410FFA30	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001410FFE76	sub_1410FFE50	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141101E86	sub_141101E60	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001411022A6	sub_141102280	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141104516	sub_1411044F0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141104936	sub_141104910	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001411066D6	sub_1411066B0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141106AF6	sub_141106AD0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141108C66	sub_141108C40	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141109086	sub_141109060	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:000000014110AB66	sub_14110AB40	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:000000014110AF86	sub_14110AF60	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:000000014110B556	sub_14110B550	                lea     rdx, aCharacter_0 ; "Character"
.text:000000014110DD86	sub_14110DD60	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:000000014110E1A6	sub_14110E180	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:000000014110E6B6	sub_14110E6B0	                lea     rdx, aCharacter_0 ; "Character"
.text:0000000141110EA6	sub_141110E80	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001411112C6	sub_1411112A0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141113266	sub_141113240	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141113686	sub_141113660	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141115026	sub_141115000	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141115446	sub_141115420	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141116D46	sub_141116D20	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141117166	sub_141117140	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141118F66	sub_141118F40	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141119386	sub_141119360	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:000000014111A3E6	sub_14111A3C0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:000000014111A806	sub_14111A7E0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:000000014111C6A6	sub_14111C680	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:000000014111CAC6	sub_14111CAA0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:000000014111E936	sub_14111E910	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:000000014111ED56	sub_14111ED30	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141120836	sub_141120810	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141120C56	sub_141120C30	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141121DD6	sub_141121DB0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001411221F6	sub_1411221D0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141124276	sub_141124250	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141124696	sub_141124670	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:00000001411268A6	sub_141126880	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141126CC6	sub_141126CA0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141129936	sub_141129910	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141129D56	sub_141129D30	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:000000014112BBD6	sub_14112BBB0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:000000014112BFF6	sub_14112BFD0	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:000000014112DD36	sub_14112DD10	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:000000014112E156	sub_14112E130	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141130116	sub_1411300F0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141130536	sub_141130510	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141132596	sub_141132570	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:00000001411329B6	sub_141132990	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141134626	sub_141134600	                lea     r9, aSayOutOfCharac ; "say (out of character)"
.text:0000000141134A46	sub_141134A20	                lea     r9, aSaysOutOfChara ; "says (out of character)"
.text:0000000141136ED6	sub_141136EB0	                lea     r9, aSayOutOfCharac ; "say (out of character)"
